order,modelo,m,N,estable_pct,n
3,conjunto,1,2,84.0,100
3,zero-shot (train m=1),1,2,86.0,100
3,conjunto,1,3,82.0,100
3,zero-shot (train m=1),1,3,83.0,100
3,conjunto,1,4,78.0,100
3,zero-shot (train m=1),1,4,80.0,100
3,conjunto,1,5,80.0,100
3,zero-shot (train m=1),1,5,87.0,100
3,conjunto,2,2,86.0,100
3,zero-shot (train m=1),2,2,93.0,100
3,conjunto,2,3,90.0,100
3,zero-shot (train m=1),2,3,91.0,100
3,conjunto,2,4,90.0,100
3,zero-shot (train m=1),2,4,90.0,100
3,conjunto,2,5,83.0,100
3,zero-shot (train m=1),2,5,89.0,100
4,conjunto,1,2,75.0,100
4,zero-shot (train m=1),1,2,78.0,100
4,conjunto,1,3,83.0,100
4,zero-shot (train m=1),1,3,77.0,100
4,conjunto,1,4,81.0,100
4,zero-shot (train m=1),1,4,72.0,100
4,conjunto,1,5,88.0,100
4,zero-shot (train m=1),1,5,84.0,100
4,conjunto,2,2,91.0,100
4,zero-shot (train m=1),2,2,88.0,100
4,conjunto,2,3,89.0,100
4,zero-shot (train m=1),2,3,82.0,100
4,conjunto,2,4,91.0,100
4,zero-shot (train m=1),2,4,84.0,100
4,conjunto,2,5,81.0,100
4,zero-shot (train m=1),2,5,78.0,100
5,conjunto,1,2,79.0,100
5,zero-shot (train m=1),1,2,75.0,100
5,conjunto,1,3,80.0,100
5,zero-shot (train m=1),1,3,78.0,100
5,conjunto,1,4,78.0,100
5,zero-shot (train m=1),1,4,81.0,100
5,conjunto,1,5,79.0,100
5,zero-shot (train m=1),1,5,80.0,100
5,conjunto,2,2,88.0,100
5,zero-shot (train m=1),2,2,86.0,100
5,conjunto,2,3,87.0,100
5,zero-shot (train m=1),2,3,81.0,100
5,conjunto,2,4,78.0,100
5,zero-shot (train m=1),2,4,77.0,100
5,conjunto,2,5,82.0,100
5,zero-shot (train m=1),2,5,85.0,100
