N,iters,method,time_per_sys,time_total,stab_rate,feas_rate
2,500.0,DR,0.00474103250016924,0.948206500033848,0.82,0.425
2,1000.0,DR,0.00954225249995943,1.9084504999918863,0.855,0.65
2,2000.0,DR,0.018947032499709165,3.7894064999418333,0.88,0.735
2,3000.0,DR,0.02804690350021701,5.609380700043403,0.885,0.745
2,4000.0,DR,0.03704395700013265,7.40879140002653,0.895,0.75
2,,CVXPY,0.18865198542334838,9.055295300320722,1.0,1.0
3,500.0,DR,0.006015160500537604,1.2030321001075208,0.755,0.285
3,1000.0,DR,0.012024017500225454,2.404803500045091,0.81,0.505
3,2000.0,DR,0.024072314000222833,4.814462800044566,0.835,0.59
3,3000.0,DR,0.03607443550019525,7.21488710003905,0.84,0.62
3,4000.0,DR,0.04808037800015882,9.616075600031763,0.855,0.64
3,,CVXPY,0.6073767065207231,27.939328499953263,1.0,1.0
4,500.0,DR,0.007224568499950692,1.4449136999901384,0.815,0.275
4,1000.0,DR,0.014674140999559313,2.9348281999118626,0.84,0.48
4,2000.0,DR,0.029527792999870142,5.905558599974029,0.88,0.545
4,3000.0,DR,0.04480022799980361,8.960045599960722,0.905,0.6
4,4000.0,DR,0.05912851049972232,11.825702099944465,0.91,0.605
4,,CVXPY,0.9591073404853454,40.28250830038451,1.0,1.0
5,500.0,DR,0.008681944999843837,1.7363889999687672,0.81,0.245
5,1000.0,DR,0.0172404890001053,3.44809780002106,0.835,0.43
5,2000.0,DR,0.03458075800037477,6.916151600074954,0.865,0.54
5,3000.0,DR,0.05212071050016675,10.42414210003335,0.885,0.605
5,4000.0,DR,0.06995512099994812,13.991024199989624,0.885,0.605
5,,CVXPY,1.1302302851108834,53.12082340021152,1.0,1.0
