loss,delta,lmi_factible,absc_A1,absc_A2,eig_A1,eig_A2,iters_min,peor_eig_max,estabilizado_en_max
control,0.0,True,-0.9999999999999998,-1.0,-1.000+1.000j -1.000-1.000j,-1.000+0.000j -2.000+0.000j,100.0,-0.010019357957410598,True
control_margen,0.0,True,-0.9999999999999998,-1.0,-1.000+1.000j -1.000-1.000j,-1.000+0.000j -2.000+0.000j,100.0,-0.45872324878686754,True
paper,0.0,True,-0.9999999999999998,-1.0,-1.000+1.000j -1.000-1.000j,-1.000+0.000j -2.000+0.000j,100.0,-0.5350900704381161,True
control,0.14285714285714285,True,-0.7857142857142858,-1.5714285714285712,-0.786+0.923j -0.786-0.923j,-1.571+0.589j -1.571-0.589j,100.0,-0.010000000000001992,True
control_margen,0.14285714285714285,True,-0.7857142857142858,-1.5714285714285712,-0.786+0.923j -0.786-0.923j,-1.571+0.589j -1.571-0.589j,100.0,-0.46434734640813247,True
paper,0.14285714285714285,True,-0.7857142857142858,-1.5714285714285712,-0.786+0.923j -0.786-0.923j,-1.571+0.589j -1.571-0.589j,250.0,-0.5506077769187527,True
control,0.2857142857142857,True,-0.5714285714285714,-1.6428571428571428,-0.571+0.833j -0.571-0.833j,-1.643+0.923j -1.643-0.923j,100.0,-0.010000000000000469,True
control_margen,0.2857142857142857,True,-0.5714285714285714,-1.6428571428571428,-0.571+0.833j -0.571-0.833j,-1.643+0.923j -1.643-0.923j,250.0,-0.4794858307708765,True
paper,0.2857142857142857,True,-0.5714285714285714,-1.6428571428571428,-0.571+0.833j -0.571-0.833j,-1.643+0.923j -1.643-0.923j,100.0,-0.5690401461932595,True
control,0.42857142857142855,True,-0.3571428571428571,-1.7142857142857144,-0.357+0.725j -0.357-0.725j,-1.714+1.125j -1.714-1.125j,100.0,-0.009999999999998262,True
control_margen,0.42857142857142855,True,-0.3571428571428571,-1.7142857142857144,-0.357+0.725j -0.357-0.725j,-1.714+1.125j -1.714-1.125j,250.0,-0.4778430916585563,True
paper,0.42857142857142855,True,-0.3571428571428571,-1.7142857142857144,-0.357+0.725j -0.357-0.725j,-1.714+1.125j -1.714-1.125j,250.0,-0.5743341441439753,True
control,0.5714285714285714,True,-0.1428571428571429,-1.7857142857142858,-0.143+0.589j -0.143-0.589j,-1.786+1.260j -1.786-1.260j,2000.0,-0.009999999999994015,True
control_margen,0.5714285714285714,True,-0.1428571428571429,-1.7857142857142858,-0.143+0.589j -0.143-0.589j,-1.786+1.260j -1.786-1.260j,100.0,-0.571068814066924,True
paper,0.5714285714285714,True,-0.1428571428571429,-1.7857142857142858,-0.143+0.589j -0.143-0.589j,-1.786+1.260j -1.786-1.260j,500.0,-0.526252436892328,True
control,0.7142857142857142,True,0.0714285714285713,-1.8571428571428568,0.071+0.398j 0.071-0.398j,-1.857+1.348j -1.857-1.348j,2000.0,-0.010000000000006178,True
control_margen,0.7142857142857142,True,0.0714285714285713,-1.8571428571428568,0.071+0.398j 0.071-0.398j,-1.857+1.348j -1.857-1.348j,250.0,-0.009999999999999423,True
paper,0.7142857142857142,True,0.0714285714285713,-1.8571428571428568,0.071+0.398j 0.071-0.398j,-1.857+1.348j -1.857-1.348j,2000.0,-0.4269154827860433,True
control,0.8571428571428571,True,0.4877447946247264,-1.9285714285714284,0.488+0.000j 0.084+0.000j,-1.929+1.398j -1.929-1.398j,4000.0,-0.009999999999931227,True
control_margen,0.8571428571428571,True,0.4877447946247264,-1.9285714285714284,0.488+0.000j 0.084+0.000j,-1.929+1.398j -1.929-1.398j,500.0,-0.010000000000003277,True
paper,0.8571428571428571,True,0.4877447946247264,-1.9285714285714284,0.488+0.000j 0.084+0.000j,-1.929+1.398j -1.929-1.398j,4000.0,-0.3412154615176277,True
control,1.0,True,1.0,-2.0,1.000+0.000j 0.000+0.000j,-2.000+1.414j -2.000-1.414j,4000.0,-0.010000000003258173,True
control_margen,1.0,True,1.0,-2.0,1.000+0.000j 0.000+0.000j,-2.000+1.414j -2.000-1.414j,1000.0,-0.00999999999999556,True
paper,1.0,True,1.0,-2.0,1.000+0.000j 0.000+0.000j,-2.000+1.414j -2.000-1.414j,4000.0,-0.30045694422709346,True
control,1.1428571428571428,True,1.3994045033303886,-2.071428571428571,1.399+0.000j 0.029+0.000j,-2.071+1.398j -2.071-1.398j,4000.0,-0.009999999988435777,True
control_margen,1.1428571428571428,True,1.3994045033303886,-2.071428571428571,1.399+0.000j 0.029+0.000j,-2.071+1.398j -2.071-1.398j,2000.0,-0.010000000000000063,True
paper,1.1428571428571428,True,1.3994045033303886,-2.071428571428571,1.399+0.000j 0.029+0.000j,-2.071+1.398j -2.071-1.398j,4000.0,-0.21480554401484397,True
