serie,delta,iter,peor_eig
control δ=0.43,0.43,20,8.840967074133996
control δ=0.43,0.43,40,8.607565937817421
control δ=0.43,0.43,60,-0.20049276316878206
control δ=0.43,0.43,80,-0.015303622427580876
control δ=0.43,0.43,100,0.7912264121211267
control δ=0.43,0.43,120,0.2107689422404545
control δ=0.43,0.43,140,0.16339070997997962
control δ=0.43,0.43,160,0.16769679127011822
control δ=0.43,0.43,180,0.16785176445878217
control δ=0.43,0.43,200,0.16764025711529557
control δ=0.43,0.43,220,0.16766415391288292
control δ=0.43,0.43,240,0.16767721809012903
control δ=0.43,0.43,260,0.16768724894534195
control δ=0.43,0.43,280,0.16769723052486002
control δ=0.43,0.43,300,0.1677074783188559
control δ=0.43,0.43,320,0.16771814478936714
control δ=0.43,0.43,340,0.16772925274858286
control δ=0.43,0.43,360,0.16774083058037229
control δ=0.43,0.43,380,0.16775291749099466
control δ=0.43,0.43,400,0.1677655591458373
control δ=0.43,0.43,420,0.16777880763165293
control δ=0.43,0.43,440,0.16779272261066253
control δ=0.43,0.43,460,0.16780737290652126
control δ=0.43,0.43,480,0.16782283849203622
control δ=0.43,0.43,500,0.16783921302705906
control δ=0.43,0.43,520,0.16785660715763923
control δ=0.43,0.43,540,0.16787515287092802
control δ=0.43,0.43,560,0.1678950093380899
control δ=0.43,0.43,580,0.1679163708992436
control δ=0.43,0.43,600,0.16793947820582206
control δ=0.43,0.43,620,0.167964634145354
control δ=0.43,0.43,640,0.1679922272395195
control δ=0.43,0.43,660,0.1680227671553567
control δ=0.43,0.43,680,0.1680569407150448
control δ=0.43,0.43,700,0.1680957044444425
control δ=0.43,0.43,720,0.16814044653824992
control δ=0.43,0.43,740,0.16819329174472036
control δ=0.43,0.43,760,0.1682577330725078
control δ=0.43,0.43,780,0.1683401267038302
control δ=0.43,0.43,800,0.16845400982330533
control δ=0.43,0.43,820,0.16863771582129483
control δ=0.43,0.43,840,0.16913246490262102
control δ=0.43,0.43,860,0.12668602776722893
control δ=0.43,0.43,880,0.1263435586084427
control δ=0.43,0.43,900,0.12646764965099339
control δ=0.43,0.43,920,0.12649072628842103
control δ=0.43,0.43,940,0.1264968805583736
control δ=0.43,0.43,960,0.12650111675346126
control δ=0.43,0.43,980,0.12650272288383413
control δ=0.43,0.43,1000,0.1265033295974315
control δ=0.43,0.43,1020,0.12650355635903926
control δ=0.43,0.43,1040,0.12650363762301559
control δ=0.43,0.43,1060,0.12650366625814757
control δ=0.43,0.43,1080,0.12650367620028757
control δ=0.43,0.43,1100,0.12650367960575398
control δ=0.43,0.43,1120,0.1265036807600507
control δ=0.43,0.43,1140,0.12650368114775956
control δ=0.43,0.43,1160,0.1265036812769437
control δ=0.43,0.43,1180,0.12650368131968528
control δ=0.43,0.43,1200,0.1265036813337329
control δ=0.43,0.43,1220,0.12650368133832943
control δ=0.43,0.43,1240,0.1265036813398266
control δ=0.43,0.43,1260,0.12650368134030557
control δ=0.43,0.43,1280,0.1265036813404608
control δ=0.43,0.43,1300,0.12650368134050588
control δ=0.43,0.43,1320,0.12650368134052561
control δ=0.43,0.43,1340,0.12650368134053774
control δ=0.43,0.43,1360,0.12650368134053847
control δ=0.43,0.43,1380,0.12650368134054074
control δ=0.43,0.43,1400,0.1265036813405399
control δ=0.43,0.43,1420,0.12650368134053708
control δ=0.43,0.43,1440,0.12650368134053308
control δ=0.43,0.43,1460,0.1265036813405429
control δ=0.43,0.43,1480,0.1265036813405262
control δ=0.43,0.43,1500,0.12650368134053355
control δ=0.43,0.43,1520,0.12650368134054119
control δ=0.43,0.43,1540,0.12650368134053772
control δ=0.43,0.43,1560,0.12650368134053463
control δ=0.43,0.43,1580,0.12650368134054144
control δ=0.43,0.43,1600,0.1265036813405374
control δ=0.43,0.43,1620,0.12650368134053575
control δ=0.43,0.43,1640,0.12650368134053588
control δ=0.43,0.43,1660,0.1265036813405445
control δ=0.43,0.43,1680,0.12650368134053053
control δ=0.43,0.43,1700,0.12650368134052953
control δ=0.43,0.43,1720,0.1265036813405374
control δ=0.43,0.43,1740,0.12650368134054213
control δ=0.43,0.43,1760,0.12650368134053747
control δ=0.43,0.43,1780,0.1265036813405364
control δ=0.43,0.43,1800,0.12650368134054168
control δ=0.43,0.43,1820,0.1265036813405322
control δ=0.43,0.43,1840,0.12650368134053763
control δ=0.43,0.43,1860,0.1265036813405335
control δ=0.43,0.43,1880,0.1265036813405342
control δ=0.43,0.43,1900,0.1265036813405287
control δ=0.43,0.43,1920,0.12650368134053355
control δ=0.43,0.43,1940,0.1265036813405308
control δ=0.43,0.43,1960,0.12650368134054626
control δ=0.43,0.43,1980,0.12650368134053824
control δ=0.43,0.43,2000,0.12650368134053508
control δ=0.43,0.43,2020,0.12650368134053355
control δ=0.43,0.43,2040,0.12650368134053055
control δ=0.43,0.43,2060,0.12650368134053458
control δ=0.43,0.43,2080,0.12650368134053525
control δ=0.43,0.43,2100,0.1265036813405445
control δ=0.43,0.43,2120,0.12650368134054463
control δ=0.43,0.43,2140,0.12650368134053414
control δ=0.43,0.43,2160,0.12650368134053266
control δ=0.43,0.43,2180,0.1265036813405373
control δ=0.43,0.43,2200,0.1265036813405316
control δ=0.43,0.43,2220,0.10316766615373227
control δ=0.43,0.43,2240,-0.01688470993168456
control δ=0.43,0.43,2260,-0.06007403274350302
control δ=0.43,0.43,2280,-0.02764519339318483
control δ=0.43,0.43,2300,0.035115618896918194
control δ=0.43,0.43,2320,0.022849714656878385
control δ=0.43,0.43,2340,-0.02599795340397501
control δ=0.43,0.43,2360,-0.03570328754022736
control δ=0.43,0.43,2380,-0.00856783172342217
control δ=0.43,0.43,2400,0.013630188201676451
control δ=0.43,0.43,2420,-0.0022746810937937264
control δ=0.43,0.43,2440,-0.022520630926011885
control δ=0.43,0.43,2460,-0.02035087890328636
control δ=0.43,0.43,2480,-0.004370731804281538
control δ=0.43,0.43,2500,0.0005788404384017395
control δ=0.43,0.43,2520,-0.010074627081249602
control δ=0.43,0.43,2540,-0.017374366555825825
control δ=0.43,0.43,2560,-0.012908080250154193
control δ=0.43,0.43,2580,-0.005449817974209761
control δ=0.43,0.43,2600,-0.00599083690900673
control δ=0.43,0.43,2620,-0.011750407330897506
control δ=0.43,0.43,2640,-0.013580547071884483
control δ=0.43,0.43,2660,-0.010124324240853681
control δ=0.43,0.43,2680,-0.007326765307542277
control δ=0.43,0.43,2700,-0.008857679003770932
control δ=0.43,0.43,2720,-0.011507698232381344
control δ=0.43,0.43,2740,-0.01143585611826576
control δ=0.43,0.43,2760,-0.009442657454561658
control δ=0.43,0.43,2780,-0.008701871576661833
control δ=0.43,0.43,2800,-0.009902885107225645
control δ=0.43,0.43,2820,-0.010917906102066006
control δ=0.43,0.43,2840,-0.010435134007795624
control δ=0.43,0.43,2860,-0.009487004273415454
control δ=0.43,0.43,2880,-0.009473072551917743
control δ=0.43,0.43,2900,-0.010172477108986808
control δ=0.43,0.43,2920,-0.01045794515282078
control δ=0.43,0.43,2940,-0.010052957125907206
control δ=0.43,0.43,2960,-0.009679822648536143
